진단명,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
안면신경장애,G51,B717,Peripheral Nerve Disorders B71702 W Catastrophic or Severe CC,01,,"B71700, B71701, B71702"
안면신경장애,G51,G540,"Endoscopy for Digestive System with Chemotherapy, LOS ≧ 2",06,S,"G54000, G54001, G54002"
안면신경장애,G51,G570,Percutaneous Drainage of Digestive System Diseases,06,S,"G57000, G57001, G57002"
안면신경장애,G51,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
안면신경장애,G51,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
안면신경장애,G51,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
안면신경장애,G51,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",Z03,E610,Respiratory Tuberculosis E61003 W Catastrophic CC,04,,"E61000, E61001, E61002, E61003"
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",Z03,F780,Chest Pain F78002 W Catastrophic CC,19,,"F78000, F78001, F78002"
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",Z03,R650,Other Neoplastic Diseases R65003 W Catastrophic CC,17,,"R65000, R65001, R65002, R65003"
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",Z03,U680,Stress Reaction and Other Psychiatric U68001 W Catastrophic or Severe CC,19,,"U68000, U68001"
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",Z03,Z640,Other Factors Influencing Health Status Z64002 W Catastrophic CC,23,,"Z64000, Z64001, Z64002"
손가락 및 발가락의 후천변형,M20,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
손가락 및 발가락의 후천변형,M20,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
손가락 및 발가락의 후천변형,M20,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
손가락 및 발가락의 후천변형,M20,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
손가락 및 발가락의 후천변형,M20,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
달리 분류되지 않은 경련,R56,A092,"Tracheostomy for Face, Mouth and Neck Disorders with Short-Term Ventilator",Pre,S,
달리 분류되지 않은 경련,R56,B772,Febrile Convulsions B77201 W Catastrophic CC,01,,"B77200, B77201"
달리 분류되지 않은 경련,R56,B773,"Other Seizure, Age ≤18 B77312 W Catastrophic CC",01,,"B77310, B77311, B77312, B77320, B77321, B77322, B77323"
달리 분류되지 않은 경련,R56,L662,Kidney and Urinary Tract Signs and L66202 W Catastrophic CC,18-1,,"L66200, L66201, L66202"
기관지 및 폐의 악성 신생물,C34,E012,Major Lung Procedures for Malignancy,04,S,"E01200, E01201"
기관지 및 폐의 악성 신생물,C34,E671,Respiratory Neoplasm with Radiation E67103 W Catastrophic CC,15,,"E67100, E67101, E67102, E67103"
기관지 및 폐의 악성 신생물,C34,E672,Respiratory Neoplasm with Chemotherapy E67203 W Catastrophic CC,03,,"E67200, E67201, E67202, E67203"
기관지 및 폐의 악성 신생물,C34,E673,Respiratory Neoplasm without Radiation E67303 W Catastrophic CC,15,,"E67300, E67301, E67302, E67303"
기관지 및 폐의 악성 신생물,C34,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기관지 및 폐의 악성 신생물,C34,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기관지 및 폐의 악성 신생물,C34,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
기관지 및 폐의 악성 신생물,C34,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
기관지 및 폐의 악성 신생물,C34,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
기관지 및 폐의 악성 신생물,C34,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
골괴사,M87,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
골괴사,M87,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
골괴사,M87,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
골괴사,M87,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
골괴사,M87,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
골괴사,M87,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
골괴사,M87,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
골괴사,M87,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
골괴사,M87,I640,Osteomyelitis I64003 W Catastrophic CC,08,,"I64000, I64001, I64002, I64003"
골괴사,M87,I696,,08,,"I69600, I69601, I69602"
골괴사,M87,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
골괴사,M87,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
골괴사,M87,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
골괴사,M87,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
골괴사,M87,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
골괴사,M87,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
"난소, 난관 및 넓은인대의 비염증성 장애",N83,N620,Menstrual and Other Female Reproductive N62003 W Catastrophic CC,13,,"N62000, N62001, N62002, N62003"
고체 및 액체에 의한 폐렴,J69,E623,Aspiration Pneumonia E62303 W Catastrophic CC,04,,"E62300, E62301, E62302, E62303"
고체 및 액체에 의한 폐렴,J69,E630,Lung Abscess E63002 W Catastrophic CC,18-1,,"E63000, E63001, E63002"
고체 및 액체에 의한 폐렴,J69,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
만성 콩팥병,N18,L611,"Chronic Renal Failure, Peritoneal Dialysis, L61112 W Catastrophic CC",11,,"L61110, L61111, L61112, L61120, L61121"
만성 콩팥병,N18,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
만성 콩팥병,N18,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
만성 콩팥병,N18,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
기타 빈혈,D64,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 빈혈,D64,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
기타 빈혈,D64,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
기타 빈혈,D64,Q610,"Red Blood Cell Diseases, Age ≤18 Q61011 W Catastrophic or Severe or Moderate",16,,"Q61010, Q61011, Q61020, Q61021, Q61022, Q61023"
윤활막염 및 힘줄윤활막염,M65,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
윤활막염 및 힘줄윤활막염,M65,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
윤활막염 및 힘줄윤활막염,M65,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
윤활막염 및 힘줄윤활막염,M65,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
윤활막염 및 힘줄윤활막염,M65,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
윤활막염 및 힘줄윤활막염,M65,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
윤활막염 및 힘줄윤활막염,M65,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
윤활막염 및 힘줄윤활막염,M65,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
윤활막염 및 힘줄윤활막염,M65,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
윤활막염 및 힘줄윤활막염,M65,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
윤활막염 및 힘줄윤활막염,M65,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
윤활막염 및 힘줄윤활막염,M65,I721,"Infectious Tendinitis, Myositis and Bursitis I72102 W Catastrophic CC",08,,"I72100, I72101, I72102"
윤활막염 및 힘줄윤활막염,M65,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
기타 변형성 등병증,M48,B171,Spinal Fusion with Myelopathy,01,S,"B17100, B17101, B17102, B17103"
기타 변형성 등병증,M48,B173,Laminectomy and Diskectomy with Myelopathy,01,S,"B17300, B17301, B17302"
기타 변형성 등병증,M48,B175,Other Spinal Procedures with Myelopathy,01,S,"B17500, B17501"
기타 변형성 등병증,M48,I081,Spinal Fusion with Myelopathy,08,S,"I08100, I08101, I08102, I08103"
기타 변형성 등병증,M48,I083,Laminectomy and Diskectomy with Myelopathy,08,S,"I08300, I08301, I08302, I08303"
기타 변형성 등병증,M48,I085,Other Spinal Procedures with Myelopathy,08,S,"I08500, I08501"
기타 변형성 등병증,M48,I640,Osteomyelitis I64003 W Catastrophic CC,08,,"I64000, I64001, I64002, I64003"
기타 변형성 등병증,M48,I651,"Connective Tissue Malignancy, Including I65102 W Catastrophic CC",08,,"I65100, I65101, I65102"
기타 변형성 등병증,M48,I652,"Connective Tissue Malignancy, Including I65210 중증도 구분 없음",08,,"I65210, I65220, I65221, I65222"
기타 변형성 등병증,M48,I653,"Connective Tissue Malignancy, Including I65311 W Catastrophic or Severe or Moderate CC",08,,"I65310, I65311, I65320, I65321, I65322, I65323"
기타 변형성 등병증,M48,I681,Non-Surgical Neck and Back Conditions I68113 W Catastrophic CC 중증도,08,,"I68110, I68111, I68112, I68113, I68120, I68121, I68122, I68123"
기타 변형성 등병증,M48,I682,Non-Surgical Neck and Back Conditions I68213 W Catastrophic CC,08,,"I68210, I68211, I68212, I68213, I68220, I68221, I68222, I68223"
기타 변형성 등병증,M48,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 변형성 등병증,M48,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 변형성 등병증,M48,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
기타 변형성 등병증,M48,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
기타 변형성 등병증,M48,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
기타 변형성 등병증,M48,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
U07의 응급사용,U07,E701,Respiratory Failure E70101 W Catastrophic CC,04,,"E70100, E70101"
U07의 응급사용,U07,T015,OR Procedures for Other Infectious Diseases,18-2,S,"T01500, T01501"
뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,I66,B011,Complex Cerebral Aneurysm Procedures with Stroke,01,S,"B01100, B01101"
뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,I66,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,I66,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
달리 분류되지 않은 기타 관절장애,M25,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
달리 분류되지 않은 기타 관절장애,M25,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
달리 분류되지 않은 기타 관절장애,M25,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
달리 분류되지 않은 기타 관절장애,M25,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
달리 분류되지 않은 기타 관절장애,M25,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
달리 분류되지 않은 기타 관절장애,M25,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
달리 분류되지 않은 기타 관절장애,M25,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
달리 분류되지 않은 기타 관절장애,M25,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
달리 분류되지 않은 기타 관절장애,M25,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
달리 분류되지 않은 기타 관절장애,M25,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
달리 분류되지 않은 기타 관절장애,M25,I695,Gout and Specific Arthropathies I69503 W Catastrophic CC,08,,"I69500, I69501, I69502, I69503"
달리 분류되지 않은 기타 관절장애,M25,I710,Musculotendinous Disorders I71003 W Catastrophic CC,08,,"I71000, I71001, I71002, I71003"
달리 분류되지 않은 기타 관절장애,M25,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
달리 분류되지 않은 기타 관절장애,M25,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
달리 분류되지 않은 기타 관절장애,M25,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
달리 분류되지 않은 기타 관절장애,M25,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
달리 분류되지 않은 기타 관절장애,M25,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
달리 분류되지 않은 기타 관절장애,M25,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
달리 분류되지 않은 기타 관절장애,M25,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
달리 분류되지 않은 기타 관절장애,M25,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
자궁경부를 제외한 자궁의 기타 비염증성 장애,N85,N620,Menstrual and Other Female Reproductive N62003 W Catastrophic CC,13,,"N62000, N62001, N62002, N62003"
급성 림프절염,L04,J621,Bullous Diseases J62101 W Catastrophic or Severe CC,09,,"J62100, J62101"
급성 림프절염,L04,L120,Other Percutaneous Procedures of Kidney and Urinary Tract Diseases,11,S,"L12000, L12001, L12002"
급성 림프절염,L04,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
급성 림프절염,L04,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
급성 림프절염,L04,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
급성 림프절염,L04,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
급성 림프절염,L04,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
급성 림프절염,L04,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
급성 림프절염,L04,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
급성 림프절염,L04,Q600,"Leukocytes and Blood-Forming Organs, Q60013 W Catastrophic CC",16,,"Q60010, Q60011, Q60012, Q60013, Q60020, Q60021, Q60022, Q60023"
화농성 관절염,M00,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
화농성 관절염,M00,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
화농성 관절염,M00,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
화농성 관절염,M00,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
화농성 관절염,M00,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
화농성 관절염,M00,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
화농성 관절염,M00,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
화농성 관절염,M00,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
화농성 관절염,M00,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
화농성 관절염,M00,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
화농성 관절염,M00,I670,Septic Arthritis I67002 W Catastrophic CC,08,,"I67000, I67001, I67002"
화농성 관절염,M00,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
화농성 관절염,M00,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
화농성 관절염,M00,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
화농성 관절염,M00,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
화농성 관절염,M00,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
화농성 관절염,M00,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
화농성 관절염,M00,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
화농성 관절염,M00,S640,Other HIV S64001 W Catastrophic CC,18-1,,"S64000, S64001"
피부 및 피하조직의 모낭낭,L72,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
위염 및 십이지장염,K29,G213,Open Appendectomy with Complicated Principal Diagnoses,06,S,"G21300, G21301, G21302"
위염 및 십이지장염,K29,G503,Gastroscopy for Major Digestive Diseases,06,S,"G50300, G50301, G50302, G50303"
위염 및 십이지장염,K29,G672,"Esophagitis and Gastroduodenitis, Age G67211 W Catastrophic or Severe CC",06,,"G67210, G67211, G67220, G67221, G67222"
위염 및 십이지장염,K29,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
위염 및 십이지장염,K29,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
위염 및 십이지장염,K29,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
위염 및 십이지장염,K29,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
위염 및 십이지장염,K29,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
전음성 및 감각신경성 청력소실,H90,D650,"Hearing Impairment, Age ≤18 D65010 중증도 구분 없음",03,,"D65010, D65020, D65021, D65022"
전음성 및 감각신경성 청력소실,H90,F121,Percutaneous Coronary Artery Procedures F12102 W Catastrophic CC,05,,"F12100, F12101, F12102"
전음성 및 감각신경성 청력소실,H90,F730,Valvular Diseases F73002 W Catastrophic CC,19,,"F73000, F73001, F73002"
전음성 및 감각신경성 청력소실,H90,F800,Other Circulatory System Diseases F80003 W Catastrophic CC,05,,"F80000, F80001, F80002, F80003"
전음성 및 감각신경성 청력소실,H90,I011,Bilateral or Multiple Major Joint Procedures(Replacement),08,S,"I01100, I01101"
전음성 및 감각신경성 청력소실,H90,I012,Bilateral or Multiple Major Joint Procedures(Except Replacement),08,S,"I01200, I01201, I01202"
전음성 및 감각신경성 청력소실,H90,I050,Vascularized Osteocutaneous Free Flap and Limb Reattachment Procedures,08,S,I05000
전음성 및 감각신경성 청력소실,H90,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
전음성 및 감각신경성 청력소실,H90,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
심장중격의 선천기형,Q21,F171,Percutaneous Angioplasty with Stent for Stenotic Lesion of Congenital Heart Disease,05,S,"F17100, F17101"
심장중격의 선천기형,Q21,F720,Congenital Heart Diseases F72003 W Catastrophic CC,19,,"F72000, F72001, F72002, F72003"
심장중격의 선천기형,Q21,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
심장중격의 선천기형,Q21,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
심장중격의 선천기형,Q21,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
심장중격의 선천기형,Q21,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
심장중격의 선천기형,Q21,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
